user_id,budget_weight,safety_weight,youth_weight,centrality_weight,situation_student,situation_young_professional,situation_professional,situation_other,stay_short_term,stay_medium_term,stay_long_term,norm_rent,norm_crime,norm_youth,norm_centrality,borough,raw_score,score
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5970417601544588,0.5427933910457408,0.2335793531785356,0.0,barnet,0.5173603895851827,0
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2208705619641194,0.5989951070778086,0.968697893321282,1.0,city of london,0.8915150098296594,1
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9141438184898176,0.4434215628981948,0.2320350489300102,0.0,croydon,0.4613445368990297,0
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.738186844373351,0.5127441445779846,0.1668217271761538,0.0,enfield,0.5027369294776757,0
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3905053508812242,0.6959429352600297,0.7690956299954023,0.6666666666666667,hammersmith and fulham,0.8696186423416845,1
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8099024251552216,0.5746850655594733,0.2471746022061347,0.0,hillingdon,0.563453839200184,0
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6193834361128581,0.5884576303521685,0.2773620625549475,0.0,hounslow,0.5590344246043383,0
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6773308829498907,0.4736297407172528,1.0,kensington and chelsea,0.9256571624536801,1
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6288739141142896,1.0,0.2236868700565903,0.0,kingston upon thames,0.9063051678382065,1
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5603465293144854,0.9118064600815764,0.2955629739821864,0.0,merton,0.8275442665750026,1
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7638988583181289,0.4002134490645516,0.5963634757620887,0.3333333333333333,newham,0.534545963465344,0
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4402319835438794,0.9951338936698334,0.0,0.0,richmond upon thames,0.8798617554320134,1
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9005138833086701,0.9338196121548742,0.099360604559347,0.0,sutton,0.8712109930576606,1
1,0.08830690338787012,0.5450985717023291,0.025359951424953512,0.34123457348484715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1070499032205272,0.0,0.7002505568694543,1.0,westminster,0.3684461390537291,0
2,0.1556126199824209,0.3225766039644921,0.20569730443534537,0.3161134716177415,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5970417601544588,0.5427933910457408,0.2335793531785356,0.0,barnet,0.3394042599128869,0
2,0.1556126199824209,0.3225766039644921,0.20569730443534537,0.3161134716177415,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8099024251552216,0.6353277193573899,0.0579601625904596,0.0,bromley,0.34869116189187116,0
2,0.1556126199824209,0.3225766039644921,0.20569730443534537,0.3161134716177415,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.276477901754108,0.3937574084372621,0.644200687418245,1.0,camden,0.8830842635356462,1
2,0.1556126199824209,0.3225766039644921,0.20569730443534537,0.3161134716177415,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2208705619641194,0.5989951070778086,0.968697893321282,1.0,city of london,1.0398338606749882,1
